state,ordering,loss_placement,f_hz,kappa,qfi_epsilon_a,sigma_h,sigma_h_over_hsql,method,cutoff,converged
cat_even,BA1,injection,215.44346900318823,8.87845779448332,9.318144480737146,2.641125006960225e-25,0.15548249839713008,fock (kappa-independent),73,True
cat_even,BA1,injection,261.0157215682536,4.174744780956828,9.318144480737146,3.179138335216096e-25,0.22674374355296972,fock (kappa-independent),73,True
cat_even,BA1,injection,316.2277660168379,1.9551114949784008,9.318144480737146,3.834469549656953e-25,0.33133286304408344,fock,73,True
cat_even,BA1,injection,383.1186849557285,0.9130574356463572,9.318144480737146,4.6313614429786e-25,0.4848431107810151,fock,73,True
cat_even,BA1,injection,464.15888336127773,0.425584997186887,9.318144480737146,5.59926776192933e-25,0.7101614979860985,fock,73,True
cat_even,BA1,injection,562.341325190349,0.19810633841316985,9.318144480737146,6.773948216505847e-25,1.0408810268642106,fock,73,True
cat_even,BA1,injection,681.2920690579608,0.09213307477274686,9.318144480737146,8.198793382946379e-25,1.5263091059252574,fock,73,True
cat_even,BA1,injection,825.4041852680182,0.04282157580077135,9.318144480737146,9.926429642965521e-25,2.238818852546551,fock,73,True
cat_even,BA1,injection,1000.0,0.019894140793964385,9.318144480737146,1.2020664174029773e-24,3.2846392954815538,fock,73,True
cat_even,BA1,concurrent,316.2277660168379,1.9551114949784008,2.568272486139216,7.303809944409068e-25,0.6311152634469106,fock,212,True
cat_even,BA1,concurrent,383.1186849557285,0.9130574356463572,5.224435336498431,6.185199564608966e-25,0.6475096868660113,fock,83,True
