freq_hz,K,n_target,state,placement,eta,qfi,eps_min,n_actual,theta,split,method
647.5,0.000740674097210292,2.0,sqz_vac,det,0.9,18.85621181235544,0.23028877839763626,2.0,0.0,,gaussian
647.5,0.000740674097210292,2.0,sqz_vac,det,0.7,7.552981782893392,0.36386541755223234,2.0,0.0,,gaussian
647.5,0.000740674097210292,2.0,sqz_vac,inj,0.9,20.951352411650515,0.21847108675421986,2.0,0.0,,gaussian
647.5,0.000740674097210292,2.0,sqz_vac,conc,0.9,19.880793309542035,0.22427617719282447,2.0,0.0,,gaussian
647.5,0.000740674097210292,2.0,cat,none,1.0,36.522705062589296,0.16546971996344037,1.9999999999999982,,,fock(N=91)
647.5,0.000740674097210292,2.0,cat,det,0.9,15.365783234292952,0.25510716052318955,1.9999999999999982,,,fock(N=91)
647.5,0.000740674097210292,2.0,cat,det,0.7,4.367601360034051,0.4784962116417128,1.9999999999999982,,,fock(N=91)
647.5,0.000740674097210292,2.0,cat,inj,0.9,17.07309833301328,0.24201586093545205,1.9999999999999982,,,fock(N=91)
647.5,0.000740674097210292,2.0,cat,conc,0.9,16.200707337529547,0.24844657362135397,1.9999999999999982,,,fock(N=91)
647.5,0.000740674097210292,2.0,sqz_cat,none,1.0,39.595726559806764,0.15891900665701328,1.9999999999999993,0.0,0.75,fock(N=93)
647.5,0.000740674097210292,2.0,sqz_cat,det,0.9,18.8551165000464,0.23029546715160198,1.9999999999999993,0.0,0.75,fock(N=93)
647.5,0.000740674097210292,2.0,sqz_cat,det,0.7,7.5525407576606485,0.363876041227959,1.9999999999999993,0.0,0.75,fock(N=93)
647.5,0.000740674097210292,2.0,sqz_cat,inj,0.9,20.950135418240578,0.2184774321550116,1.9999999999999993,0.0,0.75,fock(N=93)
647.5,0.000740674097210292,2.0,sqz_cat,conc,0.9,19.87963849358442,0.22428269124355055,1.9999999999999993,0.0,0.75,fock(N=93)
