freq_hz,K,n_target,state,scenario,qfi,eps_min,n_actual,theta,split,method
31.6,0.9501482137621282,2.0,coherent,pn_pre,2.336375384537034,0.654227339675772,2.0000000000000013,,,fock(N=78)
31.6,0.9501482137621282,2.0,coherent,pn_conc,1.8934624897437977,0.7267275877149897,2.0000000000000013,,,fock(N=78)
31.6,0.9501482137621282,2.0,coherent,pn_post,1.5794871658603544,0.7956864260366759,2.0000000000000013,,,fock(N=78)
31.6,0.9501482137621282,2.0,coherent,pn_then_loss,2.0877048410844607,0.6920945842952045,2.0000000000000013,,,fock(N=78)
31.6,0.9501482137621282,2.0,coherent,loss_then_pn,1.643646656073627,0.7800020960419229,2.0000000000000013,,,fock(N=78)
31.6,0.9501482137621282,2.0,sqz_vac,lossless,39.59591794226525,0.15891862259789147,2.0,0.0,,gaussian
31.6,0.9501482137621282,2.0,sqz_vac,loss_pre,20.951352411650568,0.21847108675421956,2.0,0.0,,gaussian
31.6,0.9501482137621282,2.0,sqz_vac,loss_conc,18.111511861077414,0.23497553532383317,2.0,0.4886921905584123,,gaussian
31.6,0.9501482137621282,2.0,sqz_vac,loss_post,15.390499329121964,0.25490223584457394,2.0,0.9250245035569946,,gaussian
31.6,0.9501482137621282,2.0,sqz_vac,loss_post_07,6.629143736422504,0.38839289994463816,2.0,1.3089969389957472,,gaussian
31.6,0.9501482137621282,2.0,sqz_vac,pn_pre,36.04376131636592,0.16656545958378527,1.9999998957484726,0.0,,fock(N=79)
31.6,0.9501482137621282,2.0,sqz_vac,pn_conc,37.7843468393869,0.16268369969467572,1.9999999311862524,0.0,,fock(N=81)
31.6,0.9501482137621282,2.0,sqz_vac,pn_post,39.57814161023981,0.15895430735908703,1.9999999311862524,0.0,,fock(N=81)
31.6,0.9501482137621282,2.0,sqz_vac,pn_then_loss,6.297849349423374,0.39847755701132465,1.999999954569002,0.0,,fock(N=83)
31.6,0.9501482137621282,2.0,sqz_vac,loss_then_pn,9.867749998823742,0.31833979405766594,1.999999954569002,0.0,,fock(N=83)
31.6,0.9501482137621282,2.0,cat,lossless,36.522705062589324,0.1654697199634403,1.9999999999999982,,,fock(N=78)
31.6,0.9501482137621282,2.0,cat,loss_pre,17.073098331722353,0.2420158609446017,1.9999999999999982,,,fock(N=79)
31.6,0.9501482137621282,2.0,cat,loss_conc,13.373016986598115,0.27345464312100526,1.9999999999999982,,,fock(N=81)
31.6,0.9501482137621282,2.0,cat,loss_post,9.526450928096597,0.3239921088425834,1.9999999999999982,,,fock(N=81)
31.6,0.9501482137621282,2.0,cat,loss_post_07,2.939963461137026,0.5832154676858365,1.9999999999999982,,,fock(N=88)
31.6,0.9501482137621282,2.0,cat,pn_pre,33.527646731401504,0.1727024362629599,1.9999999999999982,,,fock(N=79)
31.6,0.9501482137621282,2.0,cat,pn_conc,34.975607696956246,0.16908978248969478,1.9999999999999982,,,fock(N=81)
31.6,0.9501482137621282,2.0,cat,pn_post,36.521469618037244,0.16547251868618315,1.9999999999999982,,,fock(N=81)
31.6,0.9501482137621282,2.0,cat,pn_then_loss,7.9215924061761145,0.35529881061893875,1.9999999999999982,,,fock(N=83)
31.6,0.9501482137621282,2.0,cat,loss_then_pn,15.364907887407938,0.2551144272142609,1.9999999999999982,,,fock(N=83)
31.6,0.9501482137621282,2.0,sqz_cat,lossless,39.595721066854445,0.15891901768010458,2.0000000000000004,0.0,0.75,fock(N=78)
31.6,0.9501482137621282,2.0,sqz_cat,loss_pre,20.95013444124688,0.2184774372492766,2.0,0.0,0.75,fock(N=79)
31.6,0.9501482137621282,2.0,sqz_cat,loss_conc,17.135719138269074,0.24157324457500567,1.9999999999999993,0.0,0.75,fock(N=81)
